Factor,Sweep,Value,DeltaDampingRatio,DeltaSigma,DeltaMaxReal
DC-link allocation effect (GSC-DVC to MSC-DVC),SCR,2.69468154352965,-0.00533443070288209,0.0669487588692869,-5.2479934790255e-05
DC-link allocation effect (GSC-DVC to MSC-DVC),SCR,2.90982714697003,-0.00536071942475118,0.0672785970556116,-4.79537516895993e-05
DC-link allocation effect (GSC-DVC to MSC-DVC),SCR,3.1421501533547,-0.00538884126731521,0.0676314531688633,-4.39657901420577e-05
DC-link allocation effect (GSC-DVC to MSC-DVC),SCR,3.39302202074363,-0.00541898735394727,0.0680097291095696,-4.04116971019358e-05
DC-link allocation effect (GSC-DVC to MSC-DVC),SCR,3.6639237055428,-0.00545136129327038,0.0684159841123536,-3.72286623214618e-05
DC-link allocation effect (GSC-DVC to MSC-DVC),SCR,3.95645440494263,-0.00548618166118609,0.0688529659824711,-3.43589083335767e-05
DC-link allocation effect (GSC-DVC to MSC-DVC),SCR,4.27234099736006,-0.00552368430855493,0.0693236401582774,-3.17558583434619e-05
DC-link allocation effect (GSC-DVC to MSC-DVC),SCR,4.61344823661333,-0.00556412456827821,0.0698312175254787,-2.93895199230364e-05
DC-link allocation effect (GSC-DVC to MSC-DVC),SCR,4.98178976000797,-0.00560777952612116,0.0703791830452881,-2.72302062396066e-05
DC-link allocation effect (GSC-DVC to MSC-DVC),SCR,5.37953997531769,-0.00565495025933015,0.0709713239959864,-2.52518724867899e-05
DC-link allocation effect (GSC-DVC to MSC-DVC),SCR,5.80904689683146,-0.00570596402182325,0.0716117575625375,-2.34415461620851e-05
DC-link allocation effect (GSC-DVC to MSC-DVC),SCR,6.27284600624134,-0.0057611766009385,0.0723049605945483,-2.1775325920171e-05
DC-link allocation effect (GSC-DVC to MSC-DVC),SCR,6.773675220195,-0.00582097439474756,0.0730557958792636,-2.02426115295321e-05
DC-link allocation effect (GSC-DVC to MSC-DVC),SCR,7.31449105287003,-0.00588577662181055,0.0738695400877605,-1.8826370078712e-05
DC-link allocation effect (GSC-DVC to MSC-DVC),SCR,7.89848606898155,-0.00595603703076304,0.0747519054581421,-1.7522592802504e-05
DC-link allocation effect (GSC-DVC to MSC-DVC),SCR,8.52910773025237,-0.0060322456990654,0.0757090625932879,-1.63168109738546e-05
DC-link allocation effect (GSC-DVC to MSC-DVC),SCR,9.21007874660097,-0.00611492982918551,0.0767476506681462,-1.52022339210273e-05
DC-link allocation effect (GSC-DVC to MSC-DVC),SCR,9.94541905218506,-0.00620465399720814,0.0778747807256004,-1.41737764569761e-05
DC-link allocation effect (GSC-DVC to MSC-DVC),SCR,10.7394695360308,-0.00630201920399717,0.0790980238766852,-1.32206078409299e-05
DC-link allocation effect (GSC-DVC to MSC-DVC),SCR,11.5969176673348,-0.00640765985893757,0.0804253734458874,-1.23370519388294e-05
DC-link allocation effect (GSC-DVC to MSC-DVC),SCR,12.5228251667119,-0.00652223837250773,0.0818651769333567,-1.15189720377423e-05
DC-link allocation effect (GSC-DVC to MSC-DVC),SCR,13.5226578867378,-0.00664643616393801,0.0834260227368589,-1.0763321501529e-05
DC-link allocation effect (GSC-DVC to MSC-DVC),SCR,14.6023180781789,-0.00678093991479385,0.0851165668603253,-1.00614260498851e-05
DC-link allocation effect (GSC-DVC to MSC-DVC),SCR,15.7681792323853,-0.00692642050377539,0.0869452673079933,-0.00841192095336988
DC-link allocation effect (GSC-DVC to MSC-DVC),SCR,17.0271237055285,-0.00708350350110664,0.0889200119470314,-0.0606207764912214
DC-link allocation effect (GSC-DVC to MSC-DVC),SCR,18.3865833467897,-0.0072527272903042,0.0910475903663635,-0.117185631405811
DC-link allocation effect (GSC-DVC to MSC-DVC),SCR,19.8545833703362,-0.00743448555828323,0.0933329687340487,-0.178235844921498
DC-link allocation effect (GSC-DVC to MSC-DVC),SCR,21.439789730073,-0.00762894947698941,0.095778308965625,-0.24385434650432
DC-link allocation effect (GSC-DVC to MSC-DVC),SCR,23.1515602768328,-0.00783596592541778,0.0983816865923548,-0.314070218777686
DC-link allocation effect (GSC-DVC to MSC-DVC),SCR,25,-0.00805492311836874,0.101135399562482,-0.388851550776015
APCAD damping effect,SCR,1.25,0.00131900006595637,-0.0164322414994326,-9.26759779399239e-05
APCAD damping effect,SCR,1.34980103398349,0.00163717586595996,-0.0203981435245005,-8.98225698188152e-05
APCAD damping effect,SCR,1.45757026507431,0.00190742292475904,-0.0237651919249657,-8.89054599519032e-05
