Model,MaxReal,DominantFrequencyHz,DominantSigma,Sigma,Omega,FrequencyHz,DampingRatio,Stable
GFL-WT,1780.92282469039,2257.28547645763,1780.92282469039,-0.621221219732053,12.5504772770227,1.99747049680068,0.049437291909752,0
GFM-GWT,-0.184552987970592,0,-0.184552987970592,-0.621221219732068,12.5504772770227,1.99747049680068,0.0494372919097531,1
GFM-MWT,0.136344475398745,2.00051750710043,0.136344475398745,0.136344475398745,12.5696222073689,2.00051750710043,-0.0108465037913313,0
GFM-MWT+AD,-0.522548927985825,1.9157343102703,-0.522548927985825,-0.522548927985825,12.0369136707502,1.9157343102703,0.0433713520155759,1
