Sweep,Value,Model,MaxReal,DominantFrequencyHz,DominantSigma,Sigma,Omega,FrequencyHz,DampingRatio,Stable
SCR,1.25,GFL-WT,55.7840919713596,25.6998421357918,55.7840919713596,-0.153453600191246,12.5492385459648,1.99727334662965,0.012227206311592,0
SCR,1.34980103398349,GFL-WT,36.9809918892359,29.2864321415452,36.9809918892359,-0.153453600191246,12.5492385459648,1.99727334662965,0.012227206311592,0
SCR,1.45757026507431,GFL-WT,20.2338696325952,31.7562560485434,20.2338696325952,-0.153453600191304,12.5492385459648,1.99727334662965,0.0122272063115967,0
SCR,1.57394388072072,GFL-WT,3.83186474149595,33.7311412123488,3.83186474149595,-0.153453600191246,12.5492385459648,1.99727334662965,0.012227206311592,0
SCR,1.69960886210304,GFL-WT,-0.0152490010582946,0,-0.0152490010582946,-0.153453600191246,12.5492385459648,1.99727334662965,0.012227206311592,1
SCR,1.83530703954735,GFL-WT,-0.0152490010582946,0,-0.0152490010582946,-0.153453600191246,12.5492385459648,1.99727334662965,0.012227206311592,1
SCR,1.98183947172655,GFL-WT,-0.0152490010582452,0,-0.0152490010582452,-0.153453600191264,12.5492385459649,1.99727334662966,0.0122272063115934,1
SCR,2.14007117450063,GFL-WT,-0.0152490010582946,0,-0.0152490010582946,-0.153453600191246,12.5492385459648,1.99727334662965,0.012227206311592,1
SCR,2.31093622731136,GFL-WT,-0.0152490010582452,0,-0.0152490010582452,-0.153453600191264,12.5492385459649,1.99727334662966,0.0122272063115934,1
SCR,2.49544328727582,GFL-WT,-0.0152490010582452,0,-0.0152490010582452,-0.153453600191264,12.5492385459649,1.99727334662966,0.0122272063115934,1
SCR,2.69468154352965,GFL-WT,-0.0152490010582452,0,-0.0152490010582452,-0.153453600191264,12.5492385459649,1.99727334662966,0.0122272063115934,1
SCR,2.90982714697003,GFL-WT,-0.0152490010582941,0,-0.0152490010582941,-0.153453600191304,12.5492385459648,1.99727334662965,0.0122272063115967,1
SCR,3.1421501533547,GFL-WT,-0.0152490010582942,0,-0.0152490010582942,-0.153453600191304,12.5492385459648,1.99727334662965,0.0122272063115966,1
SCR,3.39302202074363,GFL-WT,-0.0152490010582452,0,-0.0152490010582452,-0.153453600191264,12.5492385459649,1.99727334662966,0.0122272063115934,1
SCR,3.6639237055428,GFL-WT,-0.0152490010582452,0,-0.0152490010582452,-0.153453600191264,12.5492385459649,1.99727334662966,0.0122272063115934,1
SCR,3.95645440494263,GFL-WT,-0.0152490010582452,0,-0.0152490010582452,-0.153453600191264,12.5492385459649,1.99727334662966,0.0122272063115934,1
SCR,4.27234099736006,GFL-WT,-0.0152490010582452,0,-0.0152490010582452,-0.153453600191264,12.5492385459649,1.99727334662966,0.0122272063115934,1
SCR,4.61344823661333,GFL-WT,-0.0152490010582452,0,-0.0152490010582452,-0.153453600191264,12.5492385459649,1.99727334662966,0.0122272063115934,1
SCR,4.98178976000797,GFL-WT,-0.0152490010582452,0,-0.0152490010582452,-0.153453600191264,12.5492385459649,1.99727334662966,0.0122272063115934,1
SCR,5.37953997531769,GFL-WT,-0.0152490010582452,0,-0.0152490010582452,-0.153453600191264,12.5492385459649,1.99727334662966,0.0122272063115934,1
SCR,5.80904689683146,GFL-WT,-0.0152490010582452,0,-0.0152490010582452,-0.153453600191264,12.5492385459649,1.99727334662966,0.0122272063115934,1
SCR,6.27284600624134,GFL-WT,-0.0152490010582452,0,-0.0152490010582452,-0.153453600191264,12.5492385459649,1.99727334662966,0.0122272063115934,1
SCR,6.773675220195,GFL-WT,-0.0152490010582452,0,-0.0152490010582452,-0.153453600191264,12.5492385459649,1.99727334662966,0.0122272063115934,1
SCR,7.31449105287003,GFL-WT,-0.0152490010582452,0,-0.0152490010582452,-0.153453600191264,12.5492385459649,1.99727334662966,0.0122272063115934,1
SCR,7.89848606898155,GFL-WT,-0.0152490010582452,0,-0.0152490010582452,-0.153453600191264,12.5492385459649,1.99727334662966,0.0122272063115934,1
SCR,8.52910773025237,GFL-WT,-0.0152490010582452,0,-0.0152490010582452,-0.153453600191264,12.5492385459649,1.99727334662966,0.0122272063115934,1
SCR,9.21007874660097,GFL-WT,-0.0152490010582452,0,-0.0152490010582452,-0.153453600191264,12.5492385459649,1.99727334662966,0.0122272063115934,1
SCR,9.94541905218506,GFL-WT,-0.0152490010582452,0,-0.0152490010582452,-0.153453600191264,12.5492385459649,1.99727334662966,0.0122272063115934,1
SCR,10.7394695360308,GFL-WT,-0.0152490010582452,0,-0.0152490010582452,-0.153453600191264,12.5492385459649,1.99727334662966,0.0122272063115934,1
SCR,11.5969176673348,GFL-WT,-0.0152490010582452,0,-0.0152490010582452,-0.153453600191264,12.5492385459649,1.99727334662966,0.0122272063115934,1
SCR,12.5228251667119,GFL-WT,-0.0152490010582452,0,-0.0152490010582452,-0.153453600191264,12.5492385459649,1.99727334662966,0.0122272063115934,1
SCR,13.5226578867378,GFL-WT,-0.0152490010582452,0,-0.0152490010582452,-0.153453600191264,12.5492385459649,1.99727334662966,0.0122272063115934,1
SCR,14.6023180781789,GFL-WT,-0.0152490010582452,0,-0.0152490010582452,-0.153453600191264,12.5492385459649,1.99727334662966,0.0122272063115934,1
SCR,15.7681792323853,GFL-WT,-0.0152490010582452,0,-0.0152490010582452,-0.153453600191264,12.5492385459649,1.99727334662966,0.0122272063115934,1
SCR,17.0271237055285,GFL-WT,-0.0152490010582452,0,-0.0152490010582452,-0.153453600191264,12.5492385459649,1.99727334662966,0.0122272063115934,1
SCR,18.3865833467897,GFL-WT,-0.0152490010582452,0,-0.0152490010582452,-0.153453600191264,12.5492385459649,1.99727334662966,0.0122272063115934,1
SCR,19.8545833703362,GFL-WT,-0.0152490010582452,0,-0.0152490010582452,-0.153453600191264,12.5492385459649,1.99727334662966,0.0122272063115934,1
SCR,21.439789730073,GFL-WT,-0.0152490010582943,0,-0.0152490010582943,-0.153453600191304,12.5492385459648,1.99727334662965,0.0122272063115967,1
SCR,23.1515602768328,GFL-WT,-0.0152490010582452,0,-0.0152490010582452,-0.153453600191264,12.5492385459649,1.99727334662966,0.0122272063115934,1
SCR,25,GFL-WT,-0.0152490010582452,0,-0.0152490010582452,-0.153453600191264,12.5492385459649,1.99727334662966,0.0122272063115934,1
SCR,1.25,GFM-GWT,-0.0152490010582504,0,-0.0152490010582504,-0.153453600191303,12.5492385459648,1.99727334662965,0.0122272063115966,1
SCR,1.34980103398349,GFM-GWT,-0.0152490010583578,0,-0.0152490010583578,-0.153453600191288,12.5492385459648,1.99727334662965,0.0122272063115954,1
SCR,1.45757026507431,GFM-GWT,-0.0152490010582144,0,-0.0152490010582144,-0.1534536001913,12.5492385459649,1.99727334662966,0.0122272063115963,1
SCR,1.57394388072072,GFM-GWT,-0.0152490010583005,0,-0.0152490010583005,-0.153453600191311,12.5492385459648,1.99727334662965,0.0122272063115972,1
SCR,1.69960886210304,GFM-GWT,-0.0152490010583152,0,-0.0152490010583152,-0.153453600191302,12.5492385459649,1.99727334662966,0.0122272063115964,1
SCR,1.83530703954735,GFM-GWT,-0.0152490010582641,0,-0.0152490010582641,-0.1534536001913,12.5492385459648,1.99727334662965,0.0122272063115964,1
SCR,1.98183947172655,GFM-GWT,-0.0152490010582455,0,-0.0152490010582455,-0.153453600191327,12.5492385459648,1.99727334662965,0.0122272063115985,1
SCR,2.14007117450063,GFM-GWT,-0.015249001058301,0,-0.015249001058301,-0.153453600191304,12.5492385459649,1.99727334662966,0.0122272063115966,1
SCR,2.31093622731136,GFM-GWT,-0.0152490010582966,0,-0.0152490010582966,-0.1534536001913,12.5492385459648,1.99727334662965,0.0122272063115963,1
SCR,2.49544328727582,GFM-GWT,-0.0152490010582837,0,-0.0152490010582837,-0.153453600191309,12.5492385459647,1.99727334662964,0.0122272063115971,1
SCR,2.69468154352965,GFM-GWT,-0.0152490010583633,0,-0.0152490010583633,-0.153453600191342,12.5492385459648,1.99727334662965,0.0122272063115997,1
SCR,2.90982714697003,GFM-GWT,-0.0152490010583144,0,-0.0152490010583144,-0.153453600191336,12.5492385459648,1.99727334662965,0.0122272063115992,1
SCR,3.1421501533547,GFM-GWT,-0.0152490010582773,0,-0.0152490010582773,-0.153453600191293,12.5492385459648,1.99727334662965,0.0122272063115957,1
SCR,3.39302202074363,GFM-GWT,-0.0152490010583033,0,-0.0152490010583033,-0.153453600191309,12.5492385459648,1.99727334662965,0.0122272063115971,1
SCR,3.6639237055428,GFM-GWT,-0.0152490010582932,0,-0.0152490010582932,-0.153453600191303,12.5492385459648,1.99727334662965,0.0122272063115966,1
SCR,3.95645440494263,GFM-GWT,-0.0152490010582959,0,-0.0152490010582959,-0.153453600191364,12.5492385459649,1.99727334662966,0.0122272063116014,1
SCR,4.27234099736006,GFM-GWT,-0.0152490010582964,0,-0.0152490010582964,-0.153453600191306,12.5492385459648,1.99727334662965,0.0122272063115968,1
SCR,4.61344823661333,GFM-GWT,-0.0152490010582748,0,-0.0152490010582748,-0.153453600191264,12.5492385459648,1.99727334662965,0.0122272063115935,1
SCR,4.98178976000797,GFM-GWT,-0.0152490010582578,0,-0.0152490010582578,-0.153453600191282,12.5492385459648,1.99727334662965,0.0122272063115949,1
SCR,5.37953997531769,GFM-GWT,-0.0152490010583787,0,-0.0152490010583787,-0.153453600191355,12.5492385459648,1.99727334662965,0.0122272063116007,1
SCR,5.80904689683146,GFM-GWT,-0.0152490010583025,0,-0.0152490010583025,-0.153453600191285,12.5492385459648,1.99727334662966,0.0122272063115951,1
SCR,6.27284600624134,GFM-GWT,-0.0152490010583031,0,-0.0152490010583031,-0.153453600191278,12.5492385459648,1.99727334662965,0.0122272063115946,1
SCR,6.773675220195,GFM-GWT,-0.0152490010582909,0,-0.0152490010582909,-0.153453600191276,12.5492385459648,1.99727334662965,0.0122272063115944,1
SCR,7.31449105287003,GFM-GWT,-0.0152490010584124,0,-0.0152490010584124,-0.153453600191318,12.5492385459648,1.99727334662965,0.0122272063115977,1
SCR,7.89848606898155,GFM-GWT,-0.0152490010582942,0,-0.0152490010582942,-0.153453600191279,12.5492385459648,1.99727334662965,0.0122272063115947,1
SCR,8.52910773025237,GFM-GWT,-0.0152490010582963,0,-0.0152490010582963,-0.153453600191383,12.5492385459649,1.99727334662966,0.0122272063116029,1
SCR,9.21007874660097,GFM-GWT,-0.0152490010582662,0,-0.0152490010582662,-0.153453600191258,12.5492385459649,1.99727334662966,0.0122272063115929,1
