Factor,Sweep,Value,DeltaDampingRatio,DeltaSigma,DeltaMaxReal
APCAD damping effect after Type c,SCR,5.80904689683146,0.0286507880988915,-0.355306274316044,-0.355306274316044
APCAD damping effect after Type c,SCR,6.27284600624134,0.0304030112508797,-0.376408857767423,-0.376408857767423
APCAD damping effect after Type c,SCR,6.773675220195,0.0321577717883988,-0.397431310379632,-0.383005994941045
APCAD damping effect after Type c,SCR,7.31449105287003,0.033895318420797,-0.418124632278726,-0.38689931797783
APCAD damping effect after Type c,SCR,7.89848606898155,0.0355928145459723,-0.438205912811311,-0.390937112678951
APCAD damping effect after Type c,SCR,8.52910773025237,0.0372252936196576,-0.457371456166157,-0.395109657767346
APCAD damping effect after Type c,SCR,9.21007874660097,0.0387671568173603,-0.475316259946272,-0.399406427697552
APCAD damping effect after Type c,SCR,9.94541905218506,0.0401940811154734,-0.491757880837516,-0.403816034710675
APCAD damping effect after Type c,SCR,10.7394695360308,0.0414850299373162,-0.506460642835257,-0.408326240832437
APCAD damping effect after Type c,SCR,11.5969176673348,0.04262395583555,-0.519255103955861,-0.412923989543854
APCAD damping effect after Type c,SCR,12.5228251667119,0.043600830596282,-0.530048546651959,-0.417595494694607
APCAD damping effect after Type c,SCR,13.5226578867378,0.0444118342407071,-0.538824872041685,-0.422326333499884
APCAD damping effect after Type c,SCR,14.6023180781789,0.0450587779337423,-0.545635300797731,-0.42710158272942
APCAD damping effect after Type c,SCR,15.7681792323853,0.0455480207164585,-0.550583412995469,-0.431905972416929
APCAD damping effect after Type c,SCR,17.0271237055285,0.0458891885353898,-0.553808439307718,-0.436724048566834
APCAD damping effect after Type c,SCR,18.3865833467897,0.0460939501069115,-0.555469871564433,-0.441540346900119
APCAD damping effect after Type c,SCR,19.8545833703362,0.046174998592336,-0.555735063886229,-0.446339561294214
APCAD damping effect after Type c,SCR,21.439789730073,0.0461452909131977,-0.554770286566689,-0.451106726546266
APCAD damping effect after Type c,SCR,23.1515602768328,0.0460175292556321,-0.552734894373864,-0.455827379994824
APCAD damping effect after Type c,SCR,25,0.0458038423801967,-0.549777989386813,-0.460487715382721
DVC type effect (Type a to Type c),XR,1,4.75260995117383e-05,-0.000595502803735881,-0.000595502803735881
DVC type effect (Type a to Type c),XR,1.48717948717949,4.53057125143503e-05,-0.000568682929481867,-0.000568682929481867
DVC type effect (Type a to Type c),XR,1.97435897435897,4.35562878414938e-05,-0.000547190644984874,-0.000547190644984874
DVC type effect (Type a to Type c),XR,2.46153846153846,4.22763455337222e-05,-0.000531363761108294,-0.000531363761108294
DVC type effect (Type a to Type c),XR,2.94871794871795,4.13294468966808e-05,-0.000519615549237962,-0.000519615549237962
DVC type effect (Type a to Type c),XR,3.43589743589744,4.06103278076716e-05,-0.000510675167495256,-0.000510675167495256
DVC type effect (Type a to Type c),XR,3.92307692307692,4.00494639423519e-05,-0.000503692775399883,-0.000503692775399883
DVC type effect (Type a to Type c),XR,4.41025641025641,3.96015634964303e-05,-0.000498111302781101,-0.000498111302781101
DVC type effect (Type a to Type c),XR,4.8974358974359,3.92364456504087e-05,-0.000493558124282645,-0.000493558124282645
DVC type effect (Type a to Type c),XR,5.38461538461539,3.89335651648694e-05,-0.000489778957934117,-0.000489778957934117
DVC type effect (Type a to Type c),XR,5.87179487179487,3.86785132096557e-05,-0.000486595149403413,-0.000486595149403413
DVC type effect (Type a to Type c),XR,6.35897435897436,3.84609537731877e-05,-0.000483878375358238,-0.000483878375358238
DVC type effect (Type a to Type c),XR,6.84615384615385,3.82732829924213e-05,-0.00048153413131799,-0.00048153413131799
DVC type effect (Type a to Type c),XR,7.33333333333333,3.81097427577162e-05,-0.00047949078279319,-0.00047949078279319
DVC type effect (Type a to Type c),XR,7.82051282051282,3.796610422095e-05,-0.000477695716523119,-0.000477695716523119
DVC type effect (Type a to Type c),XR,8.30769230769231,3.7838880966725e-05,-0.000476105490396506,-0.000476105490396506
DVC type effect (Type a to Type c),XR,8.7948717948718,3.77254725818701e-05,-0.000474687713715727,-0.000474687713715727
DVC type effect (Type a to Type c),XR,9.28205128205128,3.76237571820155e-05,-0.000473415935515087,-0.000473415935515087
DVC type effect (Type a to Type c),XR,9.76923076923077,3.75320131058288e-05,-0.000472268685303923,-0.000472268685303923
DVC type effect (Type a to Type c),XR,10.2564102564103,3.74488414980577e-05,-0.000471228513104827,-0.000471228513104827
DVC type effect (Type a to Type c),XR,10.7435897435897,3.73731224770635e-05,-0.000470281450253296,-0.000470281450253296
DVC type effect (Type a to Type c),XR,11.2307692307692,3.73038936980399e-05,-0.000469415485629066,-0.000469415485629066
DVC type effect (Type a to Type c),XR,11.7179487179487,3.72403216606244e-05,-0.000468620208535109,-0.000468620208535109
DVC type effect (Type a to Type c),XR,12.2051282051282,3.71818234222322e-05,-0.000467888355430324,-0.000467888355430324
DVC type effect (Type a to Type c),XR,12.6923076923077,3.71277457578856e-05,-0.000467211755420305,-0.000467211755420305
DVC type effect (Type a to Type c),XR,13.1794871794872,3.70776342308466e-05,-0.000466584738926579,-0.000466584738926579
DVC type effect (Type a to Type c),XR,13.6666666666667,3.70310918281439e-05,-0.000466002350024752,-0.000466002350024752
