Model,MaxReal,DominantFrequencyHz,DominantSigma,Sigma,Omega,FrequencyHz,DampingRatio,Stable
GFM-MWT-TypeA,0.172753776769027,2.00108349463297,0.172753776769027,0.172753776769027,12.5731784119175,2.00108349463297,-0.0137385684711362,0
GFM-MWT-TypeC,0.172261071740371,2.00108234528617,0.172261071740371,0.172261071740371,12.5731711903585,2.00108234528617,-0.013699400409714,0
GFM-MWT-TypeC+AD,-0.142364034017998,1.95383362500741,-0.142364034017998,-0.142364034017998,12.27629872532,1.95383362500741,0.0115958779950808,1
