Sweep,Value,Model,MaxReal,DominantFrequencyHz,DominantSigma,Sigma,Omega,FrequencyHz,DampingRatio,Stable
SCR,1.25,GFM-MWT-TypeA,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0
SCR,1.34980103398349,GFM-MWT-TypeA,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0
SCR,1.45757026507431,GFM-MWT-TypeA,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0
SCR,1.57394388072072,GFM-MWT-TypeA,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0
SCR,1.69960886210304,GFM-MWT-TypeA,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0
SCR,1.83530703954735,GFM-MWT-TypeA,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0
SCR,1.98183947172655,GFM-MWT-TypeA,0.13523803963267,2.00035954194693,0.13523803963267,0.13523803963267,12.5686296830374,2.00035954194693,-0.0107593440974083,0
SCR,2.14007117450063,GFM-MWT-TypeA,0.138534255612649,2.00041181649135,0.138534255612649,0.138534255612649,12.5689581336869,2.00041181649135,-0.0110212668482052,0
SCR,2.31093622731136,GFM-MWT-TypeA,0.141480574911234,2.00046222492431,0.141480574911234,0.141480574911234,12.5692748592122,2.00046222492431,-0.0112553520090694,0
SCR,2.49544328727582,GFM-MWT-TypeA,0.144319387575591,2.00051293765511,0.144319387575591,0.144319387575591,12.5695934966973,2.00051293765511,-0.0114808705550245,0
SCR,2.69468154352965,GFM-MWT-TypeA,0.147143302434379,2.00056490122378,0.147143302434379,0.147143302434379,12.5699199934285,2.00056490122378,-0.011705183646089,0
SCR,2.90982714697003,GFM-MWT-TypeA,0.150000561439774,2.00061870632323,0.150000561439774,0.150000561439774,12.5702580608387,2.00061870632323,-0.0119321243942903,0
SCR,3.1421501533547,GFM-MWT-TypeA,0.152920763568264,2.00067480292951,0.152920763568264,0.152920763568264,12.5706105262111,2.00067480292951,-0.0121640432221641,0
SCR,3.39302202074363,GFM-MWT-TypeA,0.155923978242217,2.00073357756976,0.155923978242217,0.155923978242217,12.5709798181672,2.00073357756976,-0.012402532475894,0
SCR,3.6639237055428,GFM-MWT-TypeA,0.159024677147766,2.00079538664969,0.159024677147766,0.159024677147766,12.57136817607,2.00079538664969,-0.0126487390381974,0
SCR,3.95645440494263,GFM-MWT-TypeA,0.162233645451175,2.00086057212626,0.162233645451175,0.162233645451175,12.5717777484986,2.00086057212626,-0.012903516282565,0
SCR,4.27234099736006,GFM-MWT-TypeA,0.165558984654424,2.00092946867788,0.165558984654424,0.165558984654424,12.5722106382995,2.00092946867788,-0.013167503808619,0
SCR,4.61344823661333,GFM-MWT-TypeA,0.16900666013262,2.00100240608295,0.16900666013262,0.16900666013262,12.5726689175314,2.00100240608295,-0.0134411709837282,0
SCR,4.98178976000797,GFM-MWT-TypeA,0.172580807651375,2.00107970870212,0.172580807651375,0.172580807651375,12.5731546242124,2.00107970870212,-0.0137248413314344,0
SCR,5.37953997531769,GFM-MWT-TypeA,0.176283900211828,2.00116169272951,0.176283900211828,0.176283900211828,12.5736697450487,2.00116169272951,-0.0140187058286253,0
SCR,5.80904689683146,GFM-MWT-TypeA,0.180116840276731,2.00124866202213,0.180116840276731,0.180116840276731,12.5742161892303,2.00124866202213,-0.0143228302839914,0
SCR,6.27284600624134,GFM-MWT-TypeA,0.184079007302051,2.00134090271487,0.184079007302051,0.184079007302051,12.5747957545956,2.00134090271487,-0.0146371591795845,0
SCR,6.773675220195,GFM-MWT-TypeA,0.188168285246899,2.0014386769847,0.188168285246899,0.188168285246899,12.5754100884512,2.0014386769847,-0.0149615179377818,0
SCR,7.31449105287003,GFM-MWT-TypeA,0.192381082381022,2.00154221626544,0.192381082381022,0.192381082381022,12.5760606449387,2.00154221626544,-0.0152956145933132,0
SCR,7.89848606898155,GFM-MWT-TypeA,0.196712356003857,2.00165171428916,0.196712356003857,0.196712356003857,12.5767486413125,2.00165171428916,-0.0156390418719988,0
SCR,8.52910773025237,GFM-MWT-TypeA,0.201155645630496,2.00176732005409,0.201155645630496,0.201155645630496,12.5774750137561,2.00176732005409,-0.0159912799589035,0
