Model,MaxReal,DominantFrequencyHz,DominantSigma,Sigma,Omega,FrequencyHz,DampingRatio,Stable
GFL-WT,-0.0152490010582943,0,-0.0152490010582943,-0.153453600191304,12.5492385459648,1.99727334662965,0.0122272063115967,1
GFM-GWT,-0.0152490010582911,0,-0.0152490010582911,-0.153453600191305,12.5492385459648,1.99727334662965,0.0122272063115967,1
GFM-MWT,-0.0152761326144064,0,-0.0152761326144064,-0.083047320581987,12.5498166826126,1.99736535993492,0.00661726815732899,1
GFM-MWT+AD,-0.0153628895858014,0,-0.0153628895858014,-0.187585688032272,12.4788690040395,1.98607368618912,0.0150305686583824,1
