Model,Parameter,GroupCount,min_Sigma,max_Sigma,min_DampingRatio,max_DampingRatio,min_MaxReal,max_MaxReal
GFM-MWT,h,81,-0.106994402294941,-0.0660117903034909,0.00524988287365839,0.00850206383565288,-0.0152763416980557,-0.00105207359407461
GFM-MWT,k_idc,81,-0.0957687705887971,-0.0746223576368278,0.00595081327609552,0.00763961148814976,-0.0152761369297675,35.7700354411665
GFM-MWT,k_pdc,81,-0.0859854726537831,-0.0830109082639013,0.00661419114327797,0.00685134119635505,-0.0152761364456113,0.366493153206112
GFM-MWT,mp,81,-0.0903672094844077,-0.0829497354968167,0.00660993442299792,0.00720054544193949,-0.0199142989941485,0.0984182360858993
GFM-MWT+AD,K_damp,121,-0.41364997435955,0.01483335919375,-0.00117626738495819,0.0336520819342901,-0.0155393960308067,0.01483335919375
GFM-MWT+AD,h,81,-0.267290048735975,0.333385063121226,-0.027109068654849,0.0217314892014496,-0.0153630559822139,0.333385063121226
GFM-MWT+AD,k_idc,81,-0.250260966272063,-0.179486844617143,0.0143740756407395,0.0200017791424039,-0.0153628938474128,35.7700344846955
GFM-MWT+AD,k_pdc,81,-0.188445976727839,-0.180011225178428,0.0144154168592474,0.0150960808802459,-0.0153628918957216,0.36813577753141
GFM-MWT+AD,mp,81,-0.200520032795553,-0.0845451210117891,0.00675018319700763,0.0160433013932196,-0.0201286168056447,0.099211997501653
