Model,Scan,Points,StablePoints,MinMaxReal,MaxMaxReal,MinDampingRatio,MaxDampingRatio,RecommendedXValue,RecommendedYValue,RecommendedMaxReal,RecommendedDampingRatio,RecommendationBasis
GFM-MWT,h_mp,961,0,1718.24854818367,1718.25104940027,-0.0826793762496152,0.177047668568737,50660.5918211689,5.36356082867947e-06,1718.24854818367,-0.0092504874027317,No stable point; minimum MaxReal reported
GFM-MWT+AD,h_mp,961,0,1718.24854818351,1718.25104940076,-0.24086751625723,0.0289659911523391,50660.5918211689,1.15554415114032e-06,1718.24854818351,-0.00915628876883456,No stable point; minimum MaxReal reported
GFM-MWT,dvc,961,0,1718.24855511292,1718.24855511508,-0.0425992074975896,-0.0107232956121694,0.017072744369168,0.923924898711145,1718.24855511292,-0.0215217216753226,No stable point; minimum MaxReal reported
GFM-MWT+AD,dvc,961,0,1718.24855511277,1718.24855511526,-0.0203862995125345,0.000138393229701156,0.017072744369168,1.25594321575479,1718.24855511277,-0.00660740588266752,No stable point; minimum MaxReal reported
GFM-MWT,rpc,961,0,1717.39344494191,1812.96902221796,-0.0109735506531917,-0.0101622560645219,2.43951839509359e-07,0.1,1717.39344494191,-0.0101670473850397,No stable point; minimum MaxReal reported
GFM-MWT+AD,rpc,961,0,1717.39344494177,1812.96902221762,-0.00593942361888487,-0.00126474063245979,2.43951839509359e-07,0.1,1717.39344494177,-0.00521612469290143,No stable point; minimum MaxReal reported
GFM-MWT+AD,K_damp,121,0,1718.24855511302,1718.24855511414,-0.0189117605212714,0.0139637228350158,-9500000,NaN,1718.24855511302,0.00522517851642665,No stable point; minimum MaxReal reported
