Model,Scan,XValue,YValue,MaxReal,Sigma,FrequencyHz,DampingRatio,Stable
GFM-MWT,Baseline,NaN,NaN,-0.015276135114231,-0.0830473207079918,1.99736535992985,0.00661726816738549,1
GFM-MWT+AD,Baseline,NaN,NaN,-0.0153628886073142,-0.187585688540729,1.98607368610333,0.0150305686997631,1
