Factor,Sweep,Value,DeltaDampingRatio,DeltaSigma,DeltaMaxReal
DC-link allocation effect (GSC-DVC to MSC-DVC),SCR,3.1421501533547,-0.0022203936605961,0.0279023142963732,3.85261955671012e-09
DC-link allocation effect (GSC-DVC to MSC-DVC),SCR,3.39302202074363,-0.0022286216113903,0.0280056138369931,3.63479557563551e-09
DC-link allocation effect (GSC-DVC to MSC-DVC),SCR,3.6639237055428,-0.00223719966647648,0.0281133082156297,3.69936969946139e-09
DC-link allocation effect (GSC-DVC to MSC-DVC),SCR,3.95645440494263,-0.00224614427330709,0.0282256037077894,3.15731085720472e-09
DC-link allocation effect (GSC-DVC to MSC-DVC),SCR,4.27234099736006,-0.00225546860826723,0.0283426654798786,3.36331140715629e-09
DC-link allocation effect (GSC-DVC to MSC-DVC),SCR,4.61344823661333,-0.00226518264196375,0.0284646184124838,3.53202267433517e-09
DC-link allocation effect (GSC-DVC to MSC-DVC),SCR,4.98178976000797,-0.00227529310365428,0.0285915466581974,2.97677615890279e-09
DC-link allocation effect (GSC-DVC to MSC-DVC),SCR,5.37953997531769,-0.0022858033885481,0.0287234924833002,2.71052158495877e-09
DC-link allocation effect (GSC-DVC to MSC-DVC),SCR,5.80904689683146,-0.00229671344025019,0.0288604547984265,3.02543412544765e-09
DC-link allocation effect (GSC-DVC to MSC-DVC),SCR,6.27284600624134,-0.00230801962615961,0.029002387601934,2.48883225140162e-09
DC-link allocation effect (GSC-DVC to MSC-DVC),SCR,6.773675220195,-0.00231971462982339,0.029149198637126,2.77577782981098e-09
DC-link allocation effect (GSC-DVC to MSC-DVC),SCR,7.31449105287003,-0.00233178736603597,0.0293007483358252,2.62252797256224e-09
DC-link allocation effect (GSC-DVC to MSC-DVC),SCR,7.89848606898155,-0.00234422294046182,0.0294568493214051,2.2894255380379e-09
DC-link allocation effect (GSC-DVC to MSC-DVC),SCR,8.52910773025237,-0.00235700266472284,0.0296172666082352,2.29420038522221e-09
DC-link allocation effect (GSC-DVC to MSC-DVC),SCR,9.21007874660097,-0.00237010411361136,0.0297817183300677,2.51793608185835e-09
DC-link allocation effect (GSC-DVC to MSC-DVC),SCR,9.94541905218506,-0.00238350126731312,0.0299498775347535,2.19324647332542e-09
DC-link allocation effect (GSC-DVC to MSC-DVC),SCR,10.7394695360308,-0.00239716468046671,0.0301213743158073,2.51066012424417e-09
DC-link allocation effect (GSC-DVC to MSC-DVC),SCR,11.5969176673348,-0.00241106178081925,0.0302957995683713,1.97042027139105e-09
DC-link allocation effect (GSC-DVC to MSC-DVC),SCR,12.5228251667119,-0.00242515715391159,0.0304727085701007,1.9990693544969e-09
DC-link allocation effect (GSC-DVC to MSC-DVC),SCR,13.5226578867378,-0.00243941294506738,0.030651626031704,1.85809767572209e-09
DC-link allocation effect (GSC-DVC to MSC-DVC),SCR,14.6023180781789,-0.00245378928817871,0.0308320514827056,2.10775397135876e-09
DC-link allocation effect (GSC-DVC to MSC-DVC),SCR,15.7681792323853,-0.00246824477822111,0.0310134652043419,1.68586211657384e-09
DC-link allocation effect (GSC-DVC to MSC-DVC),SCR,17.0271237055285,-0.00248273697325832,0.0311953345307767,2.02680894290097e-09
DC-link allocation effect (GSC-DVC to MSC-DVC),SCR,18.3865833467897,-0.00249722293163926,0.0313771205900757,1.38288669404574e-09
DC-link allocation effect (GSC-DVC to MSC-DVC),SCR,19.8545833703362,-0.00251165972860714,0.0315582847857581,1.2632881407626e-09
DC-link allocation effect (GSC-DVC to MSC-DVC),SCR,21.439789730073,-0.00252600500963918,0.0317382957369137,1.22292931337142e-09
DC-link allocation effect (GSC-DVC to MSC-DVC),SCR,23.1515602768328,-0.00254021745673833,0.0319166351260203,1.0381882020738e-09
DC-link allocation effect (GSC-DVC to MSC-DVC),SCR,25,-0.00255425731735281,0.0320928043296769,1.36424205265939e-09
APCAD damping effect,SCR,1.25,NaN,NaN,NaN
APCAD damping effect,SCR,1.34980103398349,NaN,NaN,NaN
APCAD damping effect,SCR,1.45757026507431,0.00126803007103563,-0.0157832840015834,1.18689058581367e-10
APCAD damping effect,SCR,1.57394388072072,0.0015756202504745,-0.0196161704747855,6.91215973347425e-11
APCAD damping effect,SCR,1.69960886210304,0.00182867735789851,-0.0227678934780164,3.97903932025656e-11
APCAD damping effect,SCR,1.83530703954735,0.00206647484378872,-0.0257283550627826,-8.34461388876662e-11
APCAD damping effect,SCR,1.98183947172655,0.00230061046118627,-0.0286421438758964,-1.47792889038101e-10
APCAD damping effect,SCR,2.14007117450063,0.00253660036736176,-0.0315779527370678,-9.36779542826116e-11
APCAD damping effect,SCR,2.31093622731136,0.00277771859558027,-0.0345764816659332,-3.18323145620525e-12
APCAD damping effect,SCR,2.49544328727582,0.00302619163745023,-0.0376653413049646,-3.2287061912939e-11
APCAD damping effect,SCR,2.69468154352965,0.00328367757763425,-0.040865029746629,8.18545231595635e-12
APCAD damping effect,SCR,2.90982714697003,0.00355148910865511,-0.0441917137793776,-2.59205990005285e-11
APCAD damping effect,SCR,3.1421501533547,0.00383070695475792,-0.0476586428650689,-2.79669620795175e-11
APCAD damping effect,SCR,3.39302202074363,0.00412224059005251,-0.0512769056934015,-6.50288711767644e-11
APCAD damping effect,SCR,3.6639237055428,0.0044268610049993,-0.0550558382505003,-3.59250407200307e-11
APCAD damping effect,SCR,3.95645440494263,0.00474521756171861,-0.0590032337488867,-7.91260390542448e-11
APCAD damping effect,SCR,4.27234099736006,0.00507784533529637,-0.0631254343317224,6.63931132294238e-11
APCAD damping effect,SCR,4.61344823661333,0.00542516674363089,-0.0674273520903899,-1.06183506431989e-10
APCAD damping effect,SCR,4.98178976000797,0.00578748923760184,-0.0719124416704312,-4.04725142288953e-11
APCAD damping effect,SCR,5.37953997531769,0.00616500114978117,-0.0765826506625892,-2.41925590671599e-10
APCAD damping effect,SCR,5.80904689683146,0.00655776638463207,-0.0814383564367888,2.50111042987555e-11
APCAD damping effect,SCR,6.27284600624134,0.00696571850095797,-0.0864782964125524,-8.68567440193146e-11
APCAD damping effect,SCR,6.773675220195,0.00738865564204507,-0.091699509838472,-3.06954461848363e-10
APCAD damping effect,SCR,7.31449105287003,0.0078262357247419,-0.0970972839291662,4.91127138957381e-11
APCAD damping effect,SCR,7.89848606898155,0.00827797344259944,-0.102665123557342,1.04591890703887e-11
APCAD damping effect,SCR,8.52910773025237,0.0087432386730035,-0.108394739455193,2.11230144486763e-10
APCAD damping effect,SCR,9.21007874660097,0.00922125690879113,-0.114276062476188,-5.45696821063757e-11
APCAD damping effect,SCR,9.94541905218506,0.00971111197068444,-0.120297286971859,6.98037183610722e-11
APCAD damping effect,SCR,10.7394695360308,0.0102117511324472,-0.126444944682669,-1.17324816528708e-10
APCAD damping effect,SCR,11.5969176673348,0.0107219926951861,-0.132704009376537,-1.23236532090232e-10
APCAD damping effect,SCR,12.5228251667119,0.0112405360772756,-0.139058032719893,-4.09272615797818e-10
APCAD damping effect,SCR,13.5226578867378,0.0117659745621845,-0.145489312758393,-4.50199877377599e-11
APCAD damping effect,SCR,14.6023180781789,0.0122968099830192,-0.151979085832155,-3.93356458516791e-10
APCAD damping effect,SCR,15.7681792323853,0.0128314699237796,-0.158507748533776,-9.95896698441356e-11
APCAD damping effect,SCR,17.0271237055285,0.0133683262542251,-0.165055094865876,-3.27418092638254e-11
APCAD damping effect,SCR,18.3865833467897,0.0139057155749076,-0.171600575191251,-6.68478605803102e-11
APCAD damping effect,SCR,19.8545833703362,0.0144419597648059,-0.178123554600406,1.19143805932254e-10
APCAD damping effect,SCR,21.439789730073,0.0149753879069948,-0.184603585820731,-7.38964445190504e-12
APCAD damping effect,SCR,23.1515602768328,0.0155043572885078,-0.191020668444243,-8.34461388876662e-11
APCAD damping effect,SCR,25,0.0160272741713417,-0.197355502738745,1.40403244586196e-10
Synchronization effect (PLL to GFM),XR,1,5.49907341884648e-15,-6.9111383282916e-14,-81.4268672795552
Synchronization effect (PLL to GFM),XR,1.48717948717949,5.83734449666196e-15,-7.33302307764916e-14,-80.3506596036889
Synchronization effect (PLL to GFM),XR,1.97435897435897,2.96464242044436e-15,-3.75255382323303e-14,-80.0244088578947
Synchronization effect (PLL to GFM),XR,2.46153846153846,8.99280649946377e-15,-1.12854170453147e-13,-79.9246203483854
Synchronization effect (PLL to GFM),XR,2.94871794871795,2.77035339113496e-15,-3.48610029732299e-14,-79.9054662709657
Synchronization effect (PLL to GFM),XR,3.43589743589744,4.65773253299773e-15,-5.86197757002083e-14,-79.917319614676
Synchronization effect (PLL to GFM),XR,3.92307692307692,4.01068067645838e-15,-5.08482145278322e-14,-79.941032328964
Synchronization effect (PLL to GFM),XR,4.41025641025641,5.69856661858381e-15,-7.17204073907851e-14,-79.9686163342672
Synchronization effect (PLL to GFM),XR,4.8974358974359,8.86443696224148e-16,-1.19348975147204e-14,-79.9966059413032
Synchronization effect (PLL to GFM),XR,5.38461538461539,4.19803081186387e-15,-5.28466159721575e-14,-80.023503450175
Synchronization effect (PLL to GFM),XR,5.87179487179487,1.09304926221299e-14,-1.37445610448594e-13,-80.048709011644
Synchronization effect (PLL to GFM),XR,6.35897435897436,1.34302291510124e-14,-1.68975944347949e-13,-80.0720426718872
Synchronization effect (PLL to GFM),XR,6.84615384615385,-1.60288449180257e-15,2.04836148043341e-14,-80.0935205681369
Synchronization effect (PLL to GFM),XR,7.33333333333333,1.09877384968371e-14,-1.38444811170757e-13,-80.1132466618087
Synchronization effect (PLL to GFM),XR,7.82051282051282,4.48252546192407e-15,-5.6843418860808e-14,-80.1313594091685
Synchronization effect (PLL to GFM),XR,8.30769230769231,8.04564748158043e-15,-1.01640917904433e-13,-80.1480054872663
Synchronization effect (PLL to GFM),XR,8.7948717948718,2.30197805262122e-15,-2.8643754035329e-14,-80.1633271516891
Synchronization effect (PLL to GFM),XR,9.28205128205128,3.81292220019702e-15,-4.81836792687318e-14,-80.1774565848914
Synchronization effect (PLL to GFM),XR,9.76923076923077,2.78596590241875e-15,-3.48610029732299e-14,-80.1905138218049
Synchronization effect (PLL to GFM),XR,10.2564102564103,6.38378239159465e-15,-7.97140131680862e-14,-80.2026064766933
Synchronization effect (PLL to GFM),XR,10.7435897435897,1.12410081243297e-15,-1.3988810110277e-14,-80.2138303548077
Synchronization effect (PLL to GFM),XR,11.2307692307692,4.27435864480685e-15,-5.36237720893951e-14,-80.224270438634
Synchronization effect (PLL to GFM),XR,11.7179487179487,1.01602753987962e-14,-1.2775891455874e-13,-80.2340019973076
Synchronization effect (PLL to GFM),XR,12.2051282051282,1.42177936091059e-14,-1.78523862359725e-13,-80.2430916924334
Synchronization effect (PLL to GFM),XR,12.6923076923077,5.61876933868888e-15,-7.061018436616e-14,-80.2515986068129
Synchronization effect (PLL to GFM),XR,13.1794871794872,3.99853761212654e-15,-5.04041253179821e-14,-80.2595751788929
Synchronization effect (PLL to GFM),XR,13.6666666666667,1.40755462840758e-14,-1.76303416310475e-13,-80.2670680311946
Synchronization effect (PLL to GFM),XR,14.1538461538462,9.18709552877317e-15,-1.15352172258554e-13,-80.2741186976077
Synchronization effect (PLL to GFM),XR,14.6410256410256,4.6594672564737e-15,-5.84532422465145e-14,-80.2807642576224
Synchronization effect (PLL to GFM),XR,15.1282051282051,-2.96811186739632e-15,3.76365605347928e-14,-80.2870378902296
Synchronization effect (PLL to GFM),XR,15.6153846153846,6.44449771325384e-15,-7.99360577730113e-14,-80.2929693474134
Synchronization effect (PLL to GFM),XR,16.1025641025641,-1.14665221762067e-15,1.4432899320127e-14,-80.2985853707187
Synchronization effect (PLL to GFM),XR,16.5897435897436,4.49293380277993e-16,-5.55111512312578e-15,-80.3039100506173
Synchronization effect (PLL to GFM),XR,17.0769230769231,-1.04083408558608e-17,2.22044604925031e-16,-80.3089651357459
Synchronization effect (PLL to GFM),XR,17.5641025641026,4.10955991458906e-15,-5.17363929475323e-14,-80.3137703024604
Synchronization effect (PLL to GFM),XR,18.0512820512821,5.67601521339611e-15,-7.11652958784725e-14,-80.3183433929707
