Sweep,Value,Model,MaxReal,DominantFrequencyHz,DominantSigma,Sigma,Omega,FrequencyHz,DampingRatio,Stable
SCR,1.25,GFL-WT,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0
SCR,1.34980103398349,GFL-WT,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0
SCR,1.45757026507431,GFL-WT,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0
SCR,1.57394388072072,GFL-WT,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0
SCR,1.69960886210304,GFL-WT,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0
SCR,1.83530703954735,GFL-WT,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0
SCR,1.98183947172655,GFL-WT,1483.03097942378,2096.66850310747,1483.03097942378,-0.62131405213763,12.5513997822843,1.99761731807308,0.0494410363185832,0
SCR,2.14007117450063,GFL-WT,1477.55561155317,2103.11470197855,1477.55561155317,-0.621314052137627,12.5513997822843,1.99761731807308,0.049441036318583,0
SCR,2.31093622731136,GFL-WT,1471.22693618051,2109.7020115584,1471.22693618051,-0.621314052137604,12.5513997822843,1.99761731807308,0.0494410363185812,0
SCR,2.49544328727582,GFL-WT,1464.23811246226,2116.52820313226,1464.23811246226,-0.621314052137604,12.5513997822843,1.99761731807308,0.0494410363185812,0
SCR,2.69468154352965,GFL-WT,1456.64129841725,2123.63237309848,1456.64129841725,-0.621314052137604,12.5513997822843,1.99761731807308,0.0494410363185812,0
SCR,2.90982714697003,GFL-WT,1448.44866025866,2131.03484663296,1448.44866025866,-0.621314052137604,12.5513997822843,1.99761731807308,0.0494410363185812,0
SCR,3.1421501533547,GFL-WT,1439.65687476685,2138.74693519004,1439.65687476685,-0.621314052137604,12.5513997822843,1.99761731807308,0.0494410363185812,0
SCR,3.39302202074363,GFL-WT,1430.2559811929,2146.77433949952,1430.2559811929,-0.621314052137604,12.5513997822843,1.99761731807308,0.0494410363185812,0
SCR,3.6639237055428,GFL-WT,1420.23347123722,2155.1185614217,1420.23347123722,-0.621314052137604,12.5513997822843,1.99761731807308,0.0494410363185812,0
