Model,MaxReal,DominantFrequencyHz,DominantSigma,Sigma,Omega,FrequencyHz,DampingRatio,Stable
GFL-WT,1373.08064758776,2192.03567819054,1373.08064758776,-0.621314052137604,12.5513997822843,1.99761731807308,0.0494410363185812,0
GFM-GWT,1298.83049095656,2191.8217057509,1298.83049095656,-0.621314052137632,12.5513997822843,1.99761731807308,0.0494410363185834,0
GFM-MWT,1298.83049096034,2191.82170575119,1298.83049096034,0.172742479316533,12.5731726728855,2.00108258123766,-0.0137376764589624,0
GFM-MWT+AD,1298.83049096046,2191.8217057512,1298.83049096046,-0.144720743804973,12.2735171204062,1.95339091883564,0.0117904821270613,0
