Factor,FromModel,ToModel,DeltaDampingRatio,DeltaSigma,DeltaMaxReal
Synchronization effect (PLL to GFM),GFL-WT,GFM-GWT,5.37937749900408e-15,-6.78346268045971e-14,-80.0023885994879
DC-link allocation effect (GSC-DVC to MSC-DVC),GFM-GWT,GFM-MWT,-0.0022757832910246,0.028597700500271,2.89537638309412e-09
APCAD damping effect,GFM-MWT,GFM-MWT+AD,0.0058050766696333,-0.0721300824658284,1.81444193003699e-10
