Polarity,BandwidthHz,Kp,Ki,MaxReal,DominantFrequencyHz,TorsionSigma,TorsionFrequencyHz,TorsionDampingRatio
1,0.001,0.263893782901543,0.00118435252813072,-0.00440046838025288,0.000714519611916185,-0.153034085170463,1.99727355273463,0.0121937830095251
1,0.00120679264063933,0.318465075116054,0.00172483000116793,-0.00531101293241811,0.000862370703509572,-0.153034085170464,1.99727355273463,0.0121937830095252
1,0.00145634847750124,0.384321308950705,0.00251195354614938,-0.00641010705498088,0.00104083888462631,-0.153034085170466,1.99727355273463,0.0121937830095254
1,0.00175751062485479,0.463796127282585,0.0036582797224885,-0.00773685583890916,0.00125627482273854,-0.153034085170465,1.99727355273462,0.0121937830095254
1,0.00212095088792019,0.559705753161645,0.0053277301041198,-0.00933851158473175,0.00151635117370304,-0.153034085170468,1.99727355273462,0.0121937830095256
1,0.00255954792269954,0.675448783838966,0.00775903162567241,-0.0101322327970358,0,-0.153034085170466,1.99727355273463,0.0121937830095254
1,0.00308884359647748,0.815126621465649,0.011299853894932,-0.010132232797039,0,-0.153034085170462,1.99727355273463,0.0121937830095251
1,0.00372759372031494,0.983688807973944,0.0164565250158707,-0.0101322327970413,0,-0.15303408517046,1.99727355273463,0.0121937830095249
1,0.00449843266896944,1.18710841414223,0.0239664351518245,-0.0101322327970673,0,-0.153034085170465,1.99727355273463,0.0121937830095254
1,0.00542867543932386,1.43259369782787,0.0349034813444919,-0.0101322327970581,0,-0.153034085170465,1.99727355273463,0.0121937830095253
1,0.00655128556859551,1.72884353156495,0.0508316319155438,-0.0101322327970925,0,-0.153034085170466,1.99727355273463,0.0121937830095254
1,0.0079060432109077,2.08635565070949,0.0740285697491059,-0.0101322327970775,0,-0.153034085170463,1.99727355273463,0.0121937830095252
1,0.00954095476349994,2.51779864503249,0.107811394845705,-0.0101322327970676,0,-0.153034085170466,1.99727355273463,0.0121937830095254
1,0.0115139539932645,3.03846087543688,0.157010960740828,-0.0101322327970614,0,-0.153034085170463,1.99727355273463,0.0121937830095251
1,0.0138949549437314,3.66679222334776,0.228662673625912,-0.0101322327970552,0,-0.153034085170505,1.99727355273463,0.0121937830095285
1,0.0167683293681101,4.4250578698896,0.333012536596461,-0.0101322327970504,0,-0.153034085170504,1.99727355273462,0.0121937830095284
