Index,VoltageScale,Kpv,Kiv,Kdamp,ZetaDamp,AlphaLead,MaxReal,DominantFrequencyHz,TorsionSigma,TorsionFrequencyHz,TorsionDampingRatio,Stable
7459,31.623,3.47853,8348.472,-26800000,0.35,0.5,-0.5177830172113,0.0172348056365694,-0.556265466525605,1.90978652473238,0.0463074918896696,1
3934,27.384,3.01224,7229.376,-26800000,0.35,0.5,-0.51777702718718,0.0172352477867034,-0.556306517057518,1.90977845515763,0.0463110971612048,1
14560,42.17,4.6387,11132.88,-26400000,0.35,0.7,-0.517364414255411,0.0159548965539838,-0.583916928386407,1.94059908983549,0.0478341377072378,1
11035,36.517,4.01687,9640.488,-26400000,0.35,0.7,-0.517359900639928,0.0159552901773614,-0.583955203976391,1.94059509724866,0.0478373642417102,1
7510,31.623,3.47853,8348.472,-26400000,0.35,0.7,-0.517354624727465,0.015955786853192,-0.583999464301879,1.94059048320818,0.0478410952193369,1
3985,27.384,3.01224,7229.376,-26400000,0.35,0.7,-0.517348580008432,0.0159563290390945,-0.584050684039716,1.94058514740967,0.047845412776557,1
14484,42.17,4.6387,11132.88,-27000000,0.35,0.5,-0.5159915057757,0.0185152804705116,-0.561806592228556,1.90877949930835,0.0467923901445905,1
10959,36.517,4.01687,9640.488,-27000000,0.35,0.5,-0.515987201744728,0.0185155278671878,-0.561837416579398,1.90877336776223,0.0467951018467723,1
7434,31.623,3.47853,8348.472,-27000000,0.35,0.5,-0.515982199334013,0.0185158321292516,-0.561873065007577,1.90876628049761,0.0467982378616634,1
3909,27.384,3.01224,7229.376,-27000000,0.35,0.5,-0.51597645673134,0.018516164255498,-0.561914324136217,1.90875808290088,0.0468018673552457,1
14535,42.17,4.6387,11132.88,-26600000,0.35,0.7,-0.515550465652524,0.0173288345904125,-0.59075302539481,1.93992599888847,0.0484095943249642,1
11010,36.517,4.01687,9640.488,-26600000,0.35,0.7,-0.515546137517191,0.0173291329406331,-0.59079174616849,1.93992193395143,0.0484128610912303,1
7485,31.623,3.47853,8348.472,-26600000,0.35,0.7,-0.515541075738394,0.0173295160637631,-0.590836521303658,1.93991723627873,0.0484166385915138,1
3960,27.384,3.01224,7229.376,-26600000,0.35,0.7,-0.515535278912705,0.017329929401587,-0.590888336856115,1.93991180372712,0.0484210099899365,1
14459,42.17,4.6387,11132.88,-27200000,0.35,0.5,-0.514186644207856,0.0197097405736761,-0.567406626059175,1.90775133926822,0.0472831877324029,1
10934,36.517,4.01687,9640.488,-27200000,0.35,0.5,-0.514182520244553,0.0197099199142014,-0.567437599648415,1.90774511087733,0.0472859170887221,1
7409,31.623,3.47853,8348.472,-27200000,0.35,0.5,-0.514177726047256,0.0197101442058707,-0.567473420710401,1.90773791164937,0.0472890735224158,1
3884,27.384,3.01224,7229.376,-27200000,0.35,0.5,-0.51417222310872,0.019710385642698,-0.567514879709072,1.90772958453203,0.047292726651601,1
14510,42.17,4.6387,11132.88,-26800000,0.35,0.7,-0.51373310213171,0.0185975017849562,-0.59761749726839,1.93924659285774,0.0489878816571866,1
10985,36.517,4.01687,9640.488,-26800000,0.35,0.7,-0.513728954652653,0.0185977227621506,-0.597656665861365,1.939242454085,0.0489911889847611,1
7460,31.623,3.47853,8348.472,-26800000,0.35,0.7,-0.513724101365045,0.0185980137624372,-0.597701958854803,1.93923767106074,0.0489950133888417,1
3935,27.384,3.01224,7229.376,-26800000,0.35,0.7,-0.513718545421081,0.0185983227782097,-0.597754373722947,1.93923213977307,0.0489994390671667,1
14434,42.17,4.6387,11132.88,-27400000,0.35,0.5,-0.512378254375523,0.0208323087210083,-0.57299863490273,1.90671498385889,0.0477740176398403,1
10909,36.517,4.01687,9640.488,-27400000,0.35,0.5,-0.51237430524086,0.0208324307572243,-0.573029750916855,1.90670865749902,0.0477767641882644,1
7384,31.623,3.47853,8348.472,-27400000,0.35,0.5,-0.51236971366803,0.0208325874868568,-0.573065736750193,1.90670134499997,0.0477799405080424,1
3859,27.384,3.01224,7229.376,-27400000,0.35,0.5,-0.512364443916334,0.0208327523213952,-0.57310738645848,1.90669288685083,0.0477836166511515,1
14485,42.17,4.6387,11132.88,-27000000,0.35,0.7,-0.511912443728332,0.0197810864749602,-0.604510495286459,1.93856073648049,0.0495690228982494,1
10960,36.517,4.01687,9640.488,-27000000,0.35,0.7,-0.511908471696429,0.0197812433026853,-0.60455011426779,1.93855652234638,0.0495723711146112,1
7435,31.623,3.47853,8348.472,-27000000,0.35,0.7,-0.511903821537441,0.0197814576140085,-0.604595928104813,1.93855165219869,0.0495762428025508,1
3910,27.384,3.01224,7229.376,-27000000,0.35,0.7,-0.511898499861628,0.0197816799756161,-0.604648945747362,1.93854602013205,0.0495807232007259,1
14409,42.17,4.6387,11132.88,-27600000,0.35,0.5,-0.510566453244786,0.021893977090711,-0.578581797155967,1.90567036154083,0.0482648193708018,1
10884,36.517,4.01687,9640.488,-27600000,0.35,0.5,-0.510562674105419,0.0218940501037492,-0.57861304848888,1.90566393608888,0.04826758262526,1
7359,31.623,3.47853,8348.472,-27600000,0.35,0.5,-0.510558279748775,0.0218941489424761,-0.578649190895127,1.90565650901858,0.0482707782706502,1
3834,27.384,3.01224,7229.376,-27600000,0.35,0.5,-0.510553237069622,0.021894248095187,-0.578691021895257,1.90564791833178,0.048274476784906,1
14460,42.17,4.6387,11132.88,-27200000,0.35,0.7,-0.510088609933741,0.0208939815732365,-0.611432163696042,1.93786829055039,0.0501530409939668,1
10935,36.517,4.01687,9640.488,-27200000,0.35,0.7,-0.510084808929988,0.0208940839641156,-0.611472235613383,1.93786399948026,0.0501564304285617,1
7410,31.623,3.47853,8348.472,-27200000,0.35,0.7,-0.510080355832243,0.0208942336674418,-0.611518573207342,1.93785904039972,0.050160349778349,1
3885,27.384,3.01224,7229.376,-27200000,0.35,0.7,-0.510075261753063,0.0208943828660446,-0.611572196967781,1.93785330544872,0.0501648853317934,1
14384,42.17,4.6387,11132.88,-27800000,0.35,0.5,-0.508751357016806,0.0229031517955352,-0.58415526554829,1.90461740262707,0.0487555302042517,1
10859,36.517,4.01687,9640.488,-27800000,0.35,0.5,-0.508747744086285,0.0229031820350528,-0.584186644868385,1.90461087695559,0.0487583096602841,1
7334,31.623,3.47853,8348.472,-27800000,0.35,0.5,-0.508743539858413,0.0229032315303701,-0.584222935306613,1.90460333404855,0.0487615240417356,1
3809,27.384,3.01224,7229.376,-27800000,0.35,0.5,-0.508738719058167,0.0229032734300429,-0.584264937737014,1.90459460931671,0.0487652442478298,1
14435,42.17,4.6387,11132.88,-27400000,0.35,0.7,-0.508261719388484,0.0219468773129018,-0.618382639081875,1.93716911181874,0.050739958600624,1
10910,36.517,4.01687,9640.488,-27400000,0.35,0.7,-0.508258084304586,0.0219469332380999,-0.618423166369249,1.93716474219578,0.0507433895772368,1
7385,31.623,3.47853,8348.472,-27400000,0.35,0.7,-0.508253823702414,0.0219470271895176,-0.618470030592405,1.93715969229796,0.0507473569683786,1
3860,27.384,3.01224,7229.376,-27400000,0.35,0.7,-0.50824895083175,0.0219471137522781,-0.618524263777932,1.93715385230314,0.0507519481143441,1
14359,42.17,4.6387,11132.88,-28000000,0.35,0.5,-0.506933081874608,0.0238664320135812,-0.589718166997601,1.90355603946461,0.0492460851675025,1
10834,36.517,4.01687,9640.488,-28000000,0.35,0.5,-0.506929630015591,0.0238664251972965,-0.589749666628135,1.90354941247462,0.0492488802913857,1
7309,31.623,3.47853,8348.472,-28000000,0.35,0.5,-0.506925612359933,0.023866430985064,-0.589786096249663,1.90354175242433,0.0492521127949884,1
3784,27.384,3.01224,7229.376,-28000000,0.35,0.5,-0.506921005441827,0.0238664237547581,-0.589828259841266,1.90353289219497,0.0492558539785409,1
14410,42.17,4.6387,11132.88,-27600000,0.35,0.7,-0.506431889498509,0.0229479722871485,-0.625362049466199,1.93646305284446,0.0513297980234339,1
10885,36.517,4.01687,9640.488,-27600000,0.35,0.7,-0.506428416026024,0.0229479878780585,-0.625403034524376,1.93645860299932,0.0513332708671257,1
7360,31.623,3.47853,8348.472,-27600000,0.35,0.7,-0.506424340808718,0.0229480343382734,-0.625450428061495,1.93645346038192,0.0513372866672881,1
3835,27.384,3.01224,7229.376,-27600000,0.35,0.7,-0.5064196841237,0.0229480662193367,-0.625505273919564,1.93644751309759,0.051341933843908,1
14334,42.17,4.6387,11132.88,-28200000,0.35,0.5,-0.505111741370261,0.0247891121935562,-0.595269602288846,1.90248620666157,0.0497364169929882,1
10809,36.517,4.01687,9640.488,-28200000,0.35,0.5,-0.505108446580925,0.0247890727015751,-0.595301214284892,1.90247947724921,0.0497392272289007,1
7284,31.623,3.47853,8348.472,-28200000,0.35,0.5,-0.505104609335761,0.0247890405446712,-0.595337773894763,1.90247169880784,0.0497424772105323,1
3759,27.384,3.01224,7229.376,-28200000,0.35,0.5,-0.505100211614881,0.0247889897439963,-0.59538008799606,1.90246270159185,0.0497462386263982,1
14283,42.17,4.6387,11132.88,-28600000,0.35,0.35,-0.504606261281983,0.0258705454033419,-0.505788979060642,1.87961296299648,0.0427881135503745,1
10758,36.517,4.01687,9640.488,-28600000,0.35,0.35,-0.504603076572163,0.0258704711525235,-0.505809776765759,1.87960555258146,0.0427900381394231,1
7233,31.623,3.47853,8348.472,-28600000,0.35,0.35,-0.504599348171478,0.02587040521826,-0.505833834826852,1.87959698664664,0.0427922643150232,1
14385,42.17,4.6387,11132.88,-27800000,0.35,0.7,-0.504599237277064,0.0239037178499515,-0.63237051357631,1.93574996186365,0.0519225811684915,1
10860,36.517,4.01687,9640.488,-27800000,0.35,0.7,-0.504595920546054,0.0239036984234546,-0.632411958694704,1.93574543008504,0.0519260961990264,1
3708,27.384,3.01224,7229.376,-28600000,0.35,0.35,-0.504595088561899,0.0258703112896709,-0.505861686802939,1.87958707804644,0.0427948413936192,1
7335,31.623,3.47853,8348.472,-27800000,0.35,0.7,-0.504592025958351,0.02390370329935,-0.632459884252214,1.93574019275857,0.0519301607830709,1
3810,27.384,3.01224,7229.376,-27800000,0.35,0.7,-0.50458757940635,0.0239036875027269,-0.632515345849807,1.93573413588965,0.0519348644186484,1
14309,42.17,4.6387,11132.88,-28400000,0.35,0.5,-0.503287451522204,0.0256755153627739,-0.600808646054969,1.90140784120631,0.0502264561024418,1
10784,36.517,4.01687,9640.488,-28400000,0.35,0.5,-0.503284308837539,0.0256754473081831,-0.600840362145466,1.90140100829783,0.0502292808666375,1
7259,31.623,3.47853,8348.472,-28400000,0.35,0.5,-0.503280647200467,0.0256753816337114,-0.600877042196812,1.90139311020733,0.050232547653149,1
3734,27.384,3.01224,7229.376,-28400000,0.35,0.5,-0.503276452140336,0.0256752927181271,-0.600919495754342,1.90138397457004,0.0502363285213224,1
