Stage,Index,CurrentScale,VoltageScale,Kpi,Kii,Kpv,Kiv,BetaV,BetaI,Kdamp,ZetaDamp,AlphaLead,TLeadDamp,MaxReal,DominantSigma,DominantFrequencyHz,TorsionSigma,TorsionFrequencyHz,TorsionDampingRatio,Stable
stage2,1146,0.001,1,0.0002,0.000333333333333333,0.11,264,0,0,-13750000,0.7,0.15,0.0795774715459477,97.4528773812299,97.4528773812299,2168.60557116535,-0.179793792276395,1.94658703982528,0.0146985359124364,0
stage2,48,0.001,1,0.0002,0.000333333333333333,0.11,264,0,0,-24750000,0.7,0.35,0.0795774715459477,97.4528773812344,97.4528773812344,2168.60557116536,-0.547083035046077,1.92176615485693,0.0452613534702971,0
stage2,948,0.001,1,0.0002,0.000333333333333333,0.11,264,0,0,-15750000,0.7,0.35,0.0795774715459477,97.4528773812563,97.4528773812563,2168.60557116538,-0.280189918130814,1.95282475598372,0.0228294874142702,0
stage2,73,0.001,1,0.0002,0.000333333333333333,0.11,264,0,0,-24500000,0.7,0.35,0.0795774715459477,97.4528773812599,97.4528773812599,2168.60557116534,-0.539336958356333,1.92267998915166,0.0446006228877453,0
stage2,1421,0.001,1,0.0002,0.000333333333333333,0.11,264,0,0,-11000000,0.7,0.15,0.0795774715459477,97.4528773812644,97.4528773812644,2168.60557116537,-0.114368964353807,1.95791435700625,0.00929642268281941,0
stage2,548,0.001,1,0.0002,0.000333333333333333,0.11,264,0,0,-19750000,0.7,0.35,0.0795774715459477,97.4528773812676,97.4528773812676,2168.60557116533,-0.395890387166168,1.9394606912236,0.0324702060191051,0
stage2,1021,0.001,1,0.0002,0.000333333333333333,0.11,264,0,0,-15000000,0.7,0.15,0.0795774715459477,97.4528773812685,97.4528773812685,2168.60557116537,-0.20985251938489,1.94132483724347,0.0172017188452318,0
stage2,911,0.001,1,0.0002,0.000333333333333333,0.11,264,0,0,-16000000,0.35,0.15,0.0795774715459477,97.4528773812817,97.4528773812817,2168.60557116538,-0.219074053149363,1.93225889899168,0.0180416006732153,0
stage2,1496,0.001,1,0.0002,0.000333333333333333,0.11,264,0,0,-10250000,0.7,0.15,0.0795774715459477,97.4528773812863,97.4528773812863,2168.60557116535,-0.0966935362004899,1.9609466860873,0.00784762812653756,0
stage2,1248,0.001,1,0.0002,0.000333333333333333,0.11,264,0,0,-12750000,0.7,0.35,0.0795774715459477,97.4528773812885,97.4528773812885,2168.60557116537,-0.19619394407042,1.96244760207142,0.0159093593359672,0
stage2,822,0.001,1,0.0002,0.000333333333333333,0.11,264,0,0,-17000000,0.7,0.25,0.0795774715459477,97.452877381294,97.452877381294,2168.60557116535,-0.292558531488745,1.9404030836994,0.0239892097951328,0
stage2,538,0.001,1,0.0002,0.000333333333333333,0.11,264,0,0,-19750000,0.35,0.35,0.0795774715459477,97.4528773812981,97.4528773812981,2168.60557116534,-0.396452524149789,1.9308705636362,0.032660768322397,0
stage2,1523,0.001,1,0.0002,0.000333333333333333,0.11,264,0,0,-10000000,0.7,0.35,0.0795774715459477,97.4528773813004,97.4528773813004,2168.60557116535,-0.121138530452243,1.9709979463427,0.00978127534468974,0
stage2,721,0.001,1,0.0002,0.000333333333333333,0.11,264,0,0,-18000000,0.7,0.15,0.0795774715459477,97.4528773813008,97.4528773813008,2168.60557116539,-0.282808668445416,1.92838610469246,0.0233346120783557,0
stage2,136,0.001,1,0.0002,0.000333333333333333,0.11,264,0,0,-23750000,0.35,0.15,0.0795774715459477,97.4528773813017,97.4528773813017,2168.60557116535,-0.378471839689333,1.88959653258344,0.0318613425327659,0
stage2,1391,0.001,1,0.0002,0.000333333333333333,0.11,264,0,0,-11250000,0.5,0.15,0.0795774715459477,97.4528773813076,97.4528773813076,2168.60557116534,-0.117826005504988,1.95611415813779,0.0095862143135497,0
stage2,397,0.001,1,0.0002,0.000333333333333333,0.11,264,0,0,-21250000,0.7,0.25,0.0795774715459477,97.4528773813081,97.4528773813081,2168.60557116537,-0.408789546530112,1.92356216162101,0.0338037913588645,0
stage2,598,0.001,1,0.0002,0.000333333333333333,0.11,264,0,0,-19250000,0.7,0.35,0.0795774715459477,97.4528773813095,97.4528773813095,2168.60557116537,-0.381184013784454,1.94116711097904,0.0312377604890683,0
stage2,736,0.001,1,0.0002,0.000333333333333333,0.11,264,0,0,-17750000,0.35,0.15,0.0795774715459477,97.4528773813136,97.4528773813136,2168.60557116534,-0.257010218206725,1.92325927712644,0.0212634868890188,0
