Scan,Value,MaxReal,DominantFrequencyHz,TorsionSigma,TorsionDampingRatio,Stable
current_scale,1e-08,1647.39218226088,2307.96461892582,0.0165682383289575,-0.0013288332252794,0
current_scale,1.15478198468946e-08,1647.39218233162,2307.96461882899,0.0165682382020594,-0.00132883321511953,0
current_scale,1.33352143216332e-08,1647.39218241339,2307.96461871726,0.016568238068714,-0.00132883320444312,0
current_scale,1.53992652605949e-08,1647.39218250736,2307.96461858808,0.0165682378889115,-0.0013288331900471,0
current_scale,1.77827941003892e-08,1647.39218261631,2307.96461843903,0.0165682376791487,-0.00132883317325272,0
current_scale,2.05352502645715e-08,1647.39218274221,2307.96461826684,0.016568237434389,-0.00132883315365666,0
current_scale,2.37137370566166e-08,1647.39218288756,2307.96461806806,0.0165682371880172,-0.00132883313393109,0
current_scale,2.73841963426436e-08,1647.39218305589,2307.96461783845,0.0165682368823723,-0.00132883310945943,0
current_scale,3.16227766016838e-08,1647.39218324857,2307.96461757337,0.0165682365595042,-0.00132883308360952,0
current_scale,3.65174127254838e-08,1647.39218347234,2307.96461726718,0.0165682361034784,-0.00132883304709867,0
current_scale,4.21696503428582e-08,1647.39218373029,2307.96461691366,0.0165682356476945,-0.00132883301060672,0
current_scale,4.86967525165863e-08,1647.39218402898,2307.96461650543,0.0165682350864243,-0.00132883296566972,0
current_scale,5.62341325190349e-08,1647.39218437322,2307.96461603387,0.0165682344319641,-0.00132883291327111,0
current_scale,6.49381631576211e-08,1647.39218477132,2307.96461548943,0.0165682337225909,-0.00132883285647532,0
current_scale,7.49894209332456e-08,1647.39218523046,2307.96461486069,0.0165682328732784,-0.0013288327884764,0
current_scale,8.65964323360065e-08,1647.39218576061,2307.9646141347,0.0165682319063538,-0.00132883271106113,0
current_scale,1e-07,1647.3921863727,2307.96461329631,0.0165682307923926,-0.00132883262187217,0
current_scale,1.15478198468946e-07,1647.39218708069,2307.96461232809,0.0165682294810565,-0.0013288325168821,0
current_scale,1.33352143216332e-07,1647.39218789695,2307.96461121006,0.0165682279676768,-0.00132883239571531,0
current_scale,1.53992652605949e-07,1647.39218884047,2307.96460991903,0.0165682262337857,-0.0013288322568931,0
current_scale,1.77827941003892e-07,1647.39218992971,2307.96460842814,0.016568224252638,-0.00132883209827487,0
current_scale,2.05352502645715e-07,1647.39219118663,2307.96460670644,0.0165682219140341,-0.00132883191103772,0
current_scale,2.37137370566166e-07,1647.3921926387,2307.96460471829,0.0165682192553593,-0.00132883169817408,0
current_scale,2.73841963426436e-07,1647.39219431601,2307.9646024224,0.0165682161716875,-0.0013288314512832,0
current_scale,3.16227766016838e-07,1647.39219625302,2307.96459977115,0.0165682126094859,-0.00132883116607975,0
current_scale,3.65174127254838e-07,1647.39219848929,2307.96459670954,0.0165682084867895,-0.00132883083600222,0
current_scale,4.21696503428582e-07,1647.39220107162,2307.96459317405,0.016568203761707,-0.00132883045769293,0
current_scale,4.86967525165863e-07,1647.39220405449,2307.96458909127,0.0165681982680539,-0.00132883001785024,0
current_scale,5.62341325190349e-07,1647.39220749817,2307.96458437662,0.0165681919460006,-0.00132882951168213,0
current_scale,6.49381631576211e-07,1647.3922114748,2307.96457893216,0.0165681846321726,-0.00132882892610996,0
current_scale,7.49894209332456e-07,1647.39221606767,2307.96457264516,0.0165681761664186,-0.00132882824830906,0
current_scale,8.65964323360065e-07,1647.3922213712,2307.96456538489,0.0165681664214471,-0.00132882746809022,0
current_scale,1e-06,1647.39222749586,2307.96455700085,0.0165681551591083,-0.00132882656638452,0
current_scale,1.15478198468946e-06,1647.39223456761,2307.9645473192,0.0165681421651049,-0.00132882552603441,0
current_scale,1.33352143216332e-06,1647.39224273478,2307.96453613888,0.0165681271132115,-0.00132882432092357,0
current_scale,1.53992652605949e-06,1647.39225216533,2307.96452322815,0.0165681097732122,-0.00132882293261653,0
current_scale,1.77827941003892e-06,1647.39226305615,2307.96450831909,0.0165680897552453,-0.00132882132990158,0
current_scale,2.05352502645715e-06,1647.39227563243,2307.96449110237,0.0165680666405338,-0.00132881947924946,0
current_scale,2.37137370566166e-06,1647.39229015558,2307.9644712208,0.0165680399335988,-0.00132881734099109,0
current_scale,2.73841963426436e-06,1647.39230692655,2307.96444826188,0.0165680090710352,-0.0013288148700173,0
current_scale,3.16227766016838e-06,1647.39232629303,2307.96442174936,0.0165679734829661,-0.00132881202070074,0
current_scale,3.65174127254838e-06,1647.39234865721,2307.96439113323,0.0165679323336286,-0.00132880872612899,0
current_scale,4.21696503428582e-06,1647.39237448322,2307.96435577817,0.0165678848578384,-0.00132880492503754,0
current_scale,4.86967525165863e-06,1647.39240430687,2307.96431495088,0.0165678300021651,-0.00132880053308398,0
current_scale,5.62341325190349e-06,1647.39243874685,2307.96426780422,0.0165677667076166,-0.0013287954654818,0
current_scale,6.49381631576211e-06,1647.39247851645,2307.96421336009,0.016567693554326,-0.00132878960855262,0
current_scale,7.49894209332456e-06,1647.39252444287,2307.96415048901,0.0165676091213658,-0.00132878284853008,0
current_scale,8.65964323360065e-06,1647.39257747678,2307.96407788664,0.0165675115750497,-0.00132877503860405,0
current_scale,1e-05,1647.39263872017,2307.96399404676,0.0165673989682684,-0.00132876602287949,0
current_scale,1.15478198468946e-05,1647.39270944341,2307.9638972299,0.0165672689189473,-0.00132875561064148,0
current_scale,1.33352143216332e-05,1647.3927911132,2307.96378542767,0.0165671187843222,-0.00132874359029691,0
current_scale,1.53992652605949e-05,1647.39288542421,2307.96365632042,0.0165669453878599,-0.00132872970752509,0
current_scale,1.77827941003892e-05,1647.39299433308,2307.96350722976,0.016566745160364,-0.00132871367656107,0
current_scale,2.05352502645715e-05,1647.39312009925,2307.96333506253,0.016566513961024,-0.00132869516587764,0
current_scale,2.37137370566166e-05,1647.39326533229,2307.96313624693,0.0165662469649834,-0.00132867378917796,0
current_scale,2.73841963426436e-05,1647.39343304592,2307.96290665838,0.0165659386763699,-0.00132864910644621,0
current_scale,3.16227766016838e-05,1647.39362672007,2307.96264153375,0.016565582673548,-0.00132862060354374,0
current_scale,3.65174127254838e-05,1647.39385037178,2307.96233537264,0.0165651716416384,-0.00132858769481379,0
current_scale,4.21696503428582e-05,1647.39410864243,2307.96198182353,0.0165646969424019,-0.00132854968865389,0
current_scale,4.86967525165863e-05,1647.39440689191,2307.96157355149,0.0165641489140576,-0.00132850581150904,0
current_scale,5.62341325190349e-05,1647.394751306,2307.96110208655,0.0165635161092648,-0.00132845514686918,0
current_scale,6.49381631576211e-05,1647.39514903512,2307.9605576477,0.0165627854364325,-0.00132839664658179,0
current_scale,7.49894209332456e-05,1647.39560832989,2307.95992893996,0.0165619417988074,-0.00132832910195988,0
current_scale,8.65964323360065e-05,1647.39613872249,2307.95920292011,0.0165609678168629,-0.00132825112154588,0
current_scale,0.0001,1647.39675121958,2307.95836452632,0.0165598432904563,-0.00132816108806679,0
current_scale,0.000115478198468946,1647.3974585324,2307.95739636525,0.0165585449921702,-0.00132805714187803,0
current_scale,0.000133352143216332,1647.39827534089,2307.95627835171,0.0165570461554334,-0.00132793713999123,0
current_scale,0.000153992652605949,1647.39921859956,2307.9549872917,0.0165553158473108,-0.00132779860585447,0
current_scale,0.000177827941003892,1647.40030788626,2307.95349640122,0.0165533184795651,-0.00132763869021689,0
current_scale,0.000205352502645715,1647.40156581494,2307.95177475109,0.0165510129861934,-0.00132745410528027,0
current_scale,0.000237137370566166,1647.40301850174,2307.94978662487,0.0165483519002316,-0.00132724105079149,0
current_scale,0.000273841963426436,1647.40469610662,2307.94749077837,0.0165452807054969,-0.00132699516216825,0
current_scale,0.000316227766016838,1647.40663346864,2307.94483958398,0.0165417364515885,-0.00132671139960305,0
current_scale,0.000365174127254838,1647.40887082391,2307.94177804281,0.0165376467793831,-0.00132638397007726,0
current_scale,0.000421696503428582,1647.41145464775,2307.93824264407,0.0165329282832697,-0.00132600619625518,0
current_scale,0.000486967525165863,1647.41443862182,2307.93416004767,0.0165274850330759,-0.00132557039819044,0
current_scale,0.000562341325190349,1647.41788475662,2307.9294455635,0.0165212068320833,-0.00132506775389269,0
current_scale,0.000649381631576211,1647.42186468495,2307.92400139493,0.0165139668561622,-0.00132448811037537,0
current_scale,0.000749894209332456,1647.42646115941,2307.91771461086,0.0165056197005645,-0.00132381982738261,0
current_scale,0.000865964323360065,1647.43176978573,2307.91045480417,0.0164959985892278,-0.00132304955404504,0
current_scale,0.001,1647.43790102563,2307.90207138789,0.0164849124819089,-0.00132216199745426,0
current_scale,0.00115478198468946,1647.44498251552,2307.89239047353,0.01647214294296,-0.00132113967214353,0
current_scale,0.00133352143216332,1647.45316175344,2307.88121126628,0.0164574404889784,-0.00131996260800542,0
current_scale,0.00153992652605949,1647.46260920288,2307.86830190358,0.0164405210387085,-0.00131860806637868,0
current_scale,0.00177827941003892,1647.47352189842,2307.85339465007,0.016421061943839,-0.0013170502228756,0
current_scale,0.00205352502645715,1647.48612762085,2307.83618035027,0.0163986975918541,-0.00131525981590045,0
current_scale,0.00237137370566166,1647.50068972803,2307.81630202448,0.0163730159733523,-0.00131320387292097,0
current_scale,0.00273841963426436,1647.51751278775,2307.79334747542,0.0163435545184293,-0.00131084537828107,0
current_scale,0.00316227766016838,1647.53694908409,2307.76684075392,0.0163097981837694,-0.0013081431219049,0
current_scale,0.00365174127254838,1647.55940621169,2307.73623230743,0.0162711773627469,-0.00130505153425033,0
current_scale,0.00421696503428582,1647.58535588864,2307.70088760934,0.0162270704824674,-0.00130152089763378,0
current_scale,0.00486967525165863,1647.61534422616,2307.6600740356,0.0161768090004578,-0.00129749775064749,0
current_scale,0.00562341325190349,1647.65000371024,2307.6129457194,0.0161196904997353,-0.00129292594287704,0
current_scale,0.00649381631576211,1647.69006717705,2307.55852607534,0.0160550008465023,-0.00128774841730001,0
current_scale,0.00749894209332456,1647.73638416573,2307.49568763526,0.0159820527524481,-0.00128191030970531,0
current_scale,0.00865964323360065,1647.78994007486,2307.42312878636,0.0159002465424288,-0.00127536383023001,0
current_scale,0.01,1647.85187863455,2307.33934694002,0.0158091653304244,-0.00126807590671535,0
current_scale,0.0115478198468946,1647.92352835503,2307.24260758846,0.0157087205544002,-0.0012600398689352,0
current_scale,0.0133352143216332,1648.00643369391,2307.13090862775,0.0155993705948474,-0.00125129299783451,0
current_scale,0.0153992652605949,1648.10239191865,2307.00193923212,0.0154824441170924,-0.00124194247791896,0
current_scale,0.0177827941003892,1648.21349679607,2306.85303246209,0.0153606129079329,-0.00123220334560946,0
current_scale,0.0205352502645715,1648.34219056479,2306.68111066943,0.015238567897885,-0.00122245274251959,0
current_scale,0.0237137370566166,1648.49132595907,2306.4826226301,0.0151239611877154,-0.00121330551569661,0
current_scale,0.0273841963426436,1648.66424049853,2306.25347118406,0.0150286683400636,-0.00120571552245789,0
current_scale,0.0316227766016838,1648.86484583298,2305.98892999558,0.0149703659001046,-0.00120110224030011,0
current_scale,0.0365174127254838,1649.09773560793,2305.68354785832,0.0149742861533153,-0.0012014916116375,0
current_scale,0.0421696503428582,1649.36831627691,2305.33103876781,0.0150746889693227,-0.00120963418596542,0
current_scale,0.0486967525165863,1649.68296642706,2304.92415575556,0.0153150745056593,-0.00122902216136674,0
current_scale,0.0562341325190349,1650.04923170133,2304.4545462447,0.0157454543882884,-0.00126367015718825,0
current_scale,0.0649381631576211,1650.47606436342,2303.91258643239,0.0164146078995684,-0.00131749303190253,0
current_scale,0.0749894209332456,1650.97411901814,2303.2871919505,0.017356170849294,-0.00139318798237716,0
current_scale,0.0865964323360065,1651.55611925919,2302.5656018115,0.0185708858839849,-0.00149080800943283,0
current_scale,0.1,1652.23731410392,2301.73313242608,0.0200128165378816,-0.00160665421214755,0
current_scale,0.115478198468946,1653.03604842208,2300.77289832188,0.0215900830553725,-0.00173333631223554,0
current_scale,0.133352143216332,1653.97447827579,2299.66549613208,0.0231848737526545,-0.00186138367153033,0
current_scale,0.153992652605949,1655.07947072888,2298.38864853515,0.0246846423745422,-0.00198175509445094,0
current_scale,0.177827941003892,1656.38373847579,2296.91680519076,0.0260083424521684,-0.00208794732222565,0
current_scale,0.205352502645715,1657.92727323321,2295.22069847935,0.0271165426940451,-0.0021768052276842,0
current_scale,0.237137370566166,1659.75915850153,2293.26685318895,0.0280061056180756,-0.00224809036202757,0
current_scale,0.273841963426436,1661.93986261136,2291.01705147029,0.028697418585947,-0.0023034519870708,0
current_scale,0.316227766016838,1664.54413694492,2288.42775774745,0.0292217317235948,-0.00234540847205844,0
current_scale,0.365174127254838,1667.6646716327,2285.44951331314,0.0296122132570495,-0.00237662879245972,0
current_scale,0.421696503428582,1671.41669070162,2282.02631766459,0.0298990458509014,-0.00239953937881548,0
current_scale,0.486967525165863,1675.94369786251,2278.09502404192,0.0301074682948297,-0.00241616771286991,0
